trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-185.30672564053143,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-162.7051132342211,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-166.49736761103415,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,2,-60.08238633068079,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-55.2239112785172,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-177.6736226776146,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-91.5634763732211,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-176.6726001898186,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-48.14284206360883,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-136.87891905366584,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,23,5.4498752795460685,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-172.78773476215602,"{0: 21, 1: 4, 2: 0, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-20.181089991812105,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-67.9316315492951,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,20,10.367399417983012,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,13.285658412519712,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,18,-16.24579918598272,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,6.087546283000821,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,15,7.768756758993858,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,7.477044684742399,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,10.20954862976211,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-107.53472519003532,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,11,-26.312191823194425,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,15,-4.68636002578645,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,16,24.877223851809806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,20,18.37922980140876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-54.36323148986655,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,16,16.29812175395938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,8,20.625680532655124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,20,6.617536193050609,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
