trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,0,-153.57404304556655,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-154.04087863392022,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,0,-42.809082277941904,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",20,0,-52.87569470259014,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",25,0,-121.61178084701768,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,4,-23.345528324049745,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,11,2.5810241703050143,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",20,0,-153.34554620485082,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",30,0,-38.66670097877327,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",20,0,-38.71859366025427,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",35,20,-44.33121262880594,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",20,8,7.719780715188467,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,8,11.358205358080134,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",20,7,-44.91321839012782,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",20,0,-70.0161381478913,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",25,2,-35.49730251704668,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,16,10.108525948376087,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",20,0,-29.377742605959327,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",20,0,23.79032397589725,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",20,16,5.411861164242651,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151243}",25,3,-45.14050077132427,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
