trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-15,-234.19614116030846,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-30,-196.6739684110175,"{0: 31, 1: 3, 2: 13, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-97,-609.8946873637705,"{0: 64, 1: 21, 2: 26, 3: 5, 4: 6}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,16,-18.37551940135041,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-884.7295767173557,"{0: 65, 1: 14, 2: 29, 3: 4, 4: 13}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,9,-7.038450529742429,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,-15,-109.9008628029473,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-780.6940252096055,"{0: 77, 1: 16, 2: 19, 3: 5, 4: 13}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-483.5899634325073,"{0: 75, 1: 10, 2: 25, 3: 6, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-482.89809162501,"{0: 77, 1: 14, 2: 26, 3: 3, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,7,-163.40611890385463,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,-100,-359.2256012695505,"{0: 86, 1: 16, 2: 22, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-7,-145.72854975562703,"{0: 23, 1: 1, 2: 10, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,2,-63.79276158058595,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,-76,-685.998802053785,"{0: 60, 1: 10, 2: 22, 3: 4, 4: 10}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,1,-163.20743789816487,"{0: 23, 1: 2, 2: 3, 3: 4, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-761.2118528320225,"{0: 65, 1: 18, 2: 19, 3: 8, 4: 10}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-61,-368.05776488941257,"{0: 48, 1: 13, 2: 13, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-685.7209326809922,"{0: 72, 1: 10, 2: 23, 3: 4, 4: 11}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-45,-494.389545201569,"{0: 41, 1: 4, 2: 14, 3: 2, 4: 9}",0
